"name","iata_code","icao_code","callsign","country","active","headquarters","founded","fleet_size","destinations","alliance"
"Unknown","-","N/A","","\N",true,,,,,
"135 Airways","","GNL","GENERAL","United States",false,,,,,
"1Time Airline","1T","RNX","NEXTIME","South Africa",true,,,,,
"2 Sqn No 1 Elementary Flying Training School","","WYT","","United Kingdom",false,,,,,
"213 Flight Unit","","TFU","","Russia",false,,,,,
"223 Flight Unit State Airline","","CHD","CHKALOVSK-AVIA","Russia",false,,,,,
"224th Flight Unit","","TTF","CARGO UNIT","Russia",false,,,,,
"247 Jet Ltd","","TWF","CLOUD RUNNER","United Kingdom",false,,,,,
"3D Aviation","","SEC","SECUREX","United States",false,,,,,
"40-Mile Air","Q5","MLA","MILE-AIR","United States",true,,,,,
"4D Air","","QRT","QUARTET","Thailand",false,,,,,
"611897 Alberta Limited","","THD","DONUT","Canada",false,,,,,
"Ansett Australia","AN","AAA","ANSETT","Australia",true,,,,,
"Abacus International","1B","","","Singapore",true,,,,,
"Abelag Aviation","W9","AAB","ABG","Belgium",false,,,,,
"Army Air Corps","","AAC","ARMYAIR","United Kingdom",false,,,,,
"Aero Aviation Centre Ltd.","","AAD","SUNRISE","Canada",false,,,,,
"Aero Servicios Ejecutivos Internacionales","","SII","ASEISA","Mexico",false,,,,,
"Aero Biniza","","BZS","BINIZA","Mexico",false,,,,,
"Aero Albatros","","ABM","ALBATROS ESPANA","Spain",false,,,,,
"Aigle Azur","ZI","AAF","AIGLE AZUR","France",true,,,,,
"Aloha Airlines","AQ","AAH","ALOHA","United States",true,,,,,
"Alaska Island Air","","AAK","ALASKA ISLAND","United States",false,,,,,
"American Airlines","AA","AAL","AMERICAN","United States",true,,,,,
"Aviation Management Corporation","","AAM","AM CORP","United States",false,,,,,
"Atlantis Airlines (USA)","","AAO","ATLANTIS AIR","United States",false,,,,,
"Aerovista Airlines","","AAP","AEROVISTA GROUP","United Arab Emirates",false,,,,,
"Asiana Airlines","OZ","AAR","ASIANA","Republic of Korea",false,,,,,
"Askari Aviation","4K","AAS","AL-AAS","Pakistan",true,,,,,
"Australia Asia Airlines","","AAU","AUSTASIA","Australia",false,,,,,
"Astro Air International","","AAV","ASTRO-PHIL","United States",false,,,,,
