AirlineIATA,FlightNumber,ScheduleTime,EstimatedTime,FlightNature,DestinationIATA,AircraftTypeIATA,Terminal,SeatCapacity
BA,BA1234,12/05/2025 08:30,12/05/2025 08:30,A,LHR,B777,T1,300
LH,LH5678,12/05/2025 09:15,12/05/2025 09:15,D,FRA,A320,T2,180
AF,AF7890,12/05/2025 10:00,12/05/2025 10:00,A,CDG,B787,T1,250
EK,EK1234,12/05/2025 12:30,12/05/2025 12:30,D,DXB,A380,T3,500
AA,AA4567,12/05/2025 14:45,12/05/2025 14:45,A,JFK,B777,T2,300
QF,QF7890,12/05/2025 16:20,12/05/2025 16:20,D,SYD,B787,T1,250
SQ,SQ1234,12/05/2025 18:00,12/05/2025 18:00,A,SIN,A350,T3,280
UA,UA5678,12/05/2025 19:30,12/05/2025 19:30,D,ORD,B777,T2,300
BA,BA4321,13/05/2025 07:45,13/05/2025 07:45,A,LHR,A320,T1,180
LH,LH8765,13/05/2025 08:30,13/05/2025 08:30,D,MUC,A321,T2,200
AF,AF0987,13/05/2025 09:15,13/05/2025 09:15,A,CDG,A330,T1,270
EK,EK4321,13/05/2025 11:00,13/05/2025 11:00,D,DXB,B777,T3,300
AA,AA7654,13/05/2025 13:30,13/05/2025 13:30,A,DFW,B787,T2,250
QF,QF0987,13/05/2025 15:15,13/05/2025 15:15,D,MEL,A380,T1,500
SQ,SQ4321,13/05/2025 17:00,13/05/2025 17:00,A,SIN,B777,T3,300
UA,UA8765,13/05/2025 18:45,13/05/2025 18:45,D,LAX,B787,T2,250 
