AirlineIATA,FlightNumber,ScheduleTime,EstimatedTime,FlightNature,DestinationIATA,AircraftTypeIATA,Terminal,SeatCapacity
BA,BA1234,2025-05-12T08:30:00,2025-05-12T08:30:00,A,LHR,777,T1,300
LH,LH5678,2025-05-12T09:15:00,2025-05-12T09:15:00,D,FRA,320,T2,180
AF,AF7890,2025-05-12T10:00:00,2025-05-12T10:00:00,A,CDG,787,T1,250
EK,EK1234,2025-05-12T12:30:00,2025-05-12T12:30:00,D,DXB,380,T3,500
AA,AA4567,2025-05-12T14:45:00,2025-05-12T14:45:00,A,JFK,777,T2,300
QF,QF7890,2025-05-12T16:20:00,2025-05-12T16:20:00,D,SYD,787,T1,250
SQ,SQ1234,2025-05-12T18:00:00,2025-05-12T18:00:00,A,SIN,350,T3,280
UA,UA5678,2025-05-12T19:30:00,2025-05-12T19:30:00,D,ORD,777,T2,300
BA,BA4321,2025-05-13T07:45:00,2025-05-13T07:45:00,A,LHR,320,T1,180
LH,LH8765,2025-05-13T08:30:00,2025-05-13T08:30:00,D,MUC,321,T2,200
AF,AF0987,2025-05-13T09:15:00,2025-05-13T09:15:00,A,CDG,330,T1,270
EK,EK4321,2025-05-13T11:00:00,2025-05-13T11:00:00,D,DXB,777,T3,300
AA,AA7654,2025-05-13T13:30:00,2025-05-13T13:30:00,A,DFW,787,T2,250
QF,QF0987,2025-05-13T15:15:00,2025-05-13T15:15:00,D,MEL,380,T1,500
SQ,SQ4321,2025-05-13T17:00:00,2025-05-13T17:00:00,A,SIN,777,T3,300
UA,UA8765,2025-05-13T18:45:00,2025-05-13T18:45:00,D,LAX,787,T2,250 
