AirlineIATA,FlightNumber,ScheduledTime,EstimatedTime,FlightNature,DestinationIATA,AircraftTypeIATA,Terminal,SeatCapacity
BA,A,12/05/2025 08:30,12/05/2025 08:30,BA1234,LHR,B777,T1,300
LH,D,12/05/2025 09:15,12/05/2025 09:15,LH5678,FRA,A320,T2,180
AF,A,12/05/2025 10:00,12/05/2025 10:00,AF7890,CDG,B787,T1,250
EK,D,12/05/2025 12:30,12/05/2025 12:30,EK1234,DXB,A380,T3,500
AA,A,12/05/2025 14:45,12/05/2025 14:45,AA4567,JFK,B777,T2,300
QF,D,12/05/2025 16:20,12/05/2025 16:20,QF7890,SYD,B787,T1,250
SQ,A,12/05/2025 18:00,12/05/2025 18:00,SQ1234,SIN,A350,T3,280
UA,D,12/05/2025 19:30,12/05/2025 19:30,UA5678,ORD,B777,T2,300
BA,A,13/05/2025 07:45,13/05/2025 07:45,BA4321,LHR,A320,T1,180
LH,D,13/05/2025 08:30,13/05/2025 08:30,LH8765,MUC,A321,T2,200
AF,A,13/05/2025 09:15,13/05/2025 09:15,AF0987,CDG,A330,T1,270
EK,D,13/05/2025 11:00,13/05/2025 11:00,EK4321,DXB,B777,T3,300
AA,A,13/05/2025 13:30,13/05/2025 13:30,AA7654,DFW,B787,T2,250
QF,D,13/05/2025 15:15,13/05/2025 15:15,QF0987,MEL,A380,T1,500
SQ,A,13/05/2025 17:00,13/05/2025 17:00,SQ4321,SIN,B777,T3,300
UA,D,13/05/2025 18:45,13/05/2025 18:45,UA8765,LAX,B787,T2,250
