AirlineIATA,FlightNumber,ScheduledTime,EstimatedTime,FlightNature,DestinationIATA,AircraftTypeIATA,Terminal,SeatCapacity
BA,A,2025-05-12T08:30:00,2025-05-12T08:30:00,BA1234,LHR,BA,T1,300
LH,D,2025-05-12T09:15:00,2025-05-12T09:15:00,LH5678,FRA,LH,T2,180
AF,A,2025-05-12T10:00:00,2025-05-12T10:00:00,AF7890,CDG,AF,T1,250
EK,D,2025-05-12T12:30:00,2025-05-12T12:30:00,EK1234,DXB,EK,T3,500
AA,A,2025-05-12T14:45:00,2025-05-12T14:45:00,AA4567,JFK,AA,T2,300
QF,D,2025-05-12T16:20:00,2025-05-12T16:20:00,QF7890,SYD,QF,T1,250
SQ,A,2025-05-12T18:00:00,2025-05-12T18:00:00,SQ1234,SIN,SQ,T3,280
UA,D,2025-05-12T19:30:00,2025-05-12T19:30:00,UA5678,ORD,UA,T2,300
BA,A,2025-05-13T07:45:00,2025-05-13T07:45:00,BA4321,LHR,BA,T1,180
LH,D,2025-05-13T08:30:00,2025-05-13T08:30:00,LH8765,MUC,LH,T2,200
AF,A,2025-05-13T09:15:00,2025-05-13T09:15:00,AF0987,CDG,AF,T1,270
EK,D,2025-05-13T11:00:00,2025-05-13T11:00:00,EK4321,DXB,EK,T3,300
AA,A,2025-05-13T13:30:00,2025-05-13T13:30:00,AA7654,DFW,AA,T2,250
QF,D,2025-05-13T15:15:00,2025-05-13T15:15:00,QF0987,MEL,QF,T1,500
SQ,A,2025-05-13T17:00:00,2025-05-13T17:00:00,SQ4321,SIN,SQ,T3,300
UA,D,2025-05-13T18:45:00,2025-05-13T18:45:00,UA8765,LAX,UA,T2,250
