AirlineIATA,FlightNumber,ScheduledTime,EstimatedTime,FlightNature,DestinationIATA,AircraftTypeIATA,Terminal,SeatCapacity
BA,BA0710,2025-05-20T06:00:00,2025-05-20T06:00:00,A,AMS,320,T5,180
BA,BA0712,2025-05-20T06:15:00,2025-05-20T06:15:00,A,CDG,321,T5,200
BA,BA0724,2025-05-20T06:30:00,2025-05-20T06:30:00,A,MAD,320,T5,180
BA,BA0732,2025-05-20T06:45:00,2025-05-20T06:45:00,A,MUC,320,T5,180
BA,BA0401,2025-05-20T07:00:00,2025-05-20T07:00:00,D,AMS,320,T5,180
BA,BA0403,2025-05-20T07:15:00,2025-05-20T07:15:00,D,CDG,321,T5,200
BA,BA0405,2025-05-20T07:30:00,2025-05-20T07:30:00,D,MAD,320,T5,180
BA,BA0407,2025-05-20T07:45:00,2025-05-20T07:45:00,D,MUC,320,T5,180
LH,LH0900,2025-05-20T06:00:00,2025-05-20T06:00:00,A,FRA,320,T2,180
LH,LH0902,2025-05-20T06:15:00,2025-05-20T06:15:00,A,MUC,321,T2,200
LH,LH0904,2025-05-20T06:30:00,2025-05-20T06:30:00,A,STR,320,T2,180
LH,LH0501,2025-05-20T07:00:00,2025-05-20T07:00:00,D,FRA,320,T2,180
LH,LH0503,2025-05-20T07:15:00,2025-05-20T07:15:00,D,MUC,321,T2,200
LH,LH0505,2025-05-20T07:30:00,2025-05-20T07:30:00,D,STR,320,T2,180
AF,AF1680,2025-05-20T06:10:00,2025-05-20T06:10:00,A,CDG,330,T4,270
AF,AF1682,2025-05-20T06:40:00,2025-05-20T06:40:00,A,ORY,330,T4,270
AF,AF1601,2025-05-20T07:10:00,2025-05-20T07:10:00,D,CDG,330,T4,270
AF,AF1603,2025-05-20T07:40:00,2025-05-20T07:40:00,D,ORY,330,T4,270
EK,EK0001,2025-05-20T06:30:00,2025-05-20T06:30:00,A,DXB,380,T3,500
EK,EK0002,2025-05-20T07:45:00,2025-05-20T07:45:00,D,DXB,380,T3,500
SQ,SQ0306,2025-05-20T06:15:00,2025-05-20T06:15:00,A,SIN,777,T3,300
SQ,SQ0317,2025-05-20T07:30:00,2025-05-20T07:30:00,D,SIN,777,T3,300
QF,QF0001,2025-05-20T06:00:00,2025-05-20T06:00:00,A,SYD,744,T3,350
QF,QF0010,2025-05-20T07:00:00,2025-05-20T07:00:00,D,SYD,744,T3,350
AA,AA0100,2025-05-20T06:30:00,2025-05-20T06:30:00,A,JFK,777,T2,300
AA,AA0101,2025-05-20T07:30:00,2025-05-20T07:30:00,D,JFK,777,T2,300
UA,UA0900,2025-05-20T06:45:00,2025-05-20T06:45:00,A,ORD,787,T2,250
UA,UA0901,2025-05-20T07:45:00,2025-05-20T07:45:00,D,ORD,787,T2,250
DL,DL0100,2025-05-20T06:20:00,2025-05-20T06:20:00,A,ATL,777,T3,300
DL,DL0101,2025-05-20T07:20:00,2025-05-20T07:20:00,D,ATL,777,T3,300
U2,U20901,2025-05-20T06:00:00,2025-05-20T06:00:00,A,CDG,320,T1,180
U2,U20902,2025-05-20T06:15:00,2025-05-20T06:15:00,A,GVA,320,T1,180
U2,U20903,2025-05-20T06:30:00,2025-05-20T06:30:00,A,BCN,320,T1,180
U2,U20904,2025-05-20T06:45:00,2025-05-20T06:45:00,A,MXP,320,T1,180
U2,U20501,2025-05-20T07:00:00,2025-05-20T07:00:00,D,CDG,320,T1,180
U2,U20502,2025-05-20T07:15:00,2025-05-20T07:15:00,D,GVA,320,T1,180
U2,U20503,2025-05-20T07:30:00,2025-05-20T07:30:00,D,BCN,320,T1,180
U2,U20504,2025-05-20T07:45:00,2025-05-20T07:45:00,D,MXP,320,T1,180
FR,FR0900,2025-05-20T06:10:00,2025-05-20T06:10:00,A,DUB,738,T1,170
FR,FR0902,2025-05-20T06:30:00,2025-05-20T06:30:00,A,BGY,738,T1,170
FR,FR0501,2025-05-20T07:10:00,2025-05-20T07:10:00,D,DUB,738,T1,170
FR,FR0503,2025-05-20T07:30:00,2025-05-20T07:30:00,D,BGY,738,T1,170
W6,W60100,2025-05-20T06:20:00,2025-05-20T06:20:00,A,BUD,320,T1,180
W6,W60101,2025-05-20T07:20:00,2025-05-20T07:20:00,D,BUD,320,T1,180
